key,value,activity_category
abandoned:man_made,tower,cultural
abandoned:military,bunker,cultural
abandoned:railway,station,cultural
abandoned:railway,turntable,cultural
activity,flying_fox,physical
admin_type:PH,barangay,cultural
advertising,board,social
advertising,flag,cultural
advertising,poster_box,cultural
advertising,totem,cultural
aerialway,station,physical
allotments,plot,environmental
amenity,animal_shelter,social
amenity,arts_centre,cultural
amenity,auditorium,cultural
amenity,baking_oven,social
amenity,bar,social
amenity,bbq,social
amenity,bench,social
amenity,bicycle_parking,physical
amenity,bicycle_rental,physical
amenity,bicycle_repair_station,physical
amenity,biergarten,social
amenity,binoculars,nature
amenity,boat_rental,physical
amenity,boat_storage,physical
amenity,boot_cleaner,physical
amenity,building_yard,social
amenity,cafe,social
amenity,childcare,social
amenity,cinema,cultural
amenity,college,social
amenity,community_centre,social
amenity,compressed_air,physical
amenity,conference_centre,social
amenity,dancing_school,physical
amenity,dog_toilet,physical
amenity,dressing_room,physical
amenity,drinking_water,physical
amenity,events_centre,social
amenity,events_venue,cultural
amenity,exhibition_centre,cultural
amenity,fast_food,social
amenity,feeding_place,nature
amenity,ferry_terminal,social
amenity,flower_planter,nature
amenity,food_court,social
amenity,fountain,nature
amenity,game_feeding,nature
amenity,garden,nature
amenity,gazebo,social
amenity,give_box,social
amenity,grave_yard,cultural
amenity,hunting_stand,physical
amenity,ice_cream,social
amenity,kick-scooter_rental,physical
amenity,kindergarten,social
amenity,kitchen,social
amenity,kneipp_water_cure,physical
amenity,language_school,cultural
amenity,library,cultural
amenity,lost_found,social
amenity,lounger,social
amenity,marketplace,social
amenity,mist_spraying_cooler,physical
amenity,model,cultural
amenity,monastery,cultural
amenity,music_school,cultural
amenity,nightclub,social
amenity,park bench,social
amenity,photo_booth,social
amenity,planetarium,cultural
amenity,polling_station,social
amenity,pub,social
amenity,public_bath,physical
amenity,public_bookcase,cultural
amenity,public_building,social
amenity,ranger_station,environmental
amenity,reception_desk,social
amenity,recycling,environmental
amenity,restaurant,social
amenity,school,social
amenity,seat,social
amenity,shelter,nature
amenity,shower,physical
amenity,skatepark,physical
amenity,smoking_area,social
amenity,social_centre,social
amenity,social_club,social
amenity,social_facility,social
amenity,splash_pad,physical
amenity,sport_school,physical
amenity,stage,cultural
amenity,studio,cultural
amenity,sunscreen,physical
amenity,table,social
amenity,telephone,social
amenity,theatre,cultural
amenity,tourism,cultural
amenity,tourist,cultural
amenity,townhall,social
amenity,toy_library,social
amenity,traffic_park,physical
amenity,training,physical
amenity,umbrella,nature
amenity,university,social
amenity,waste_basket;recycling,environmental
amenity,waste_disposal,environmental
amenity,waste_transfer_station,environmental
amenity,water_point,physical
amenity,watering_place,environmental
animal,Amurtiger,nature
animal,Asian Lion,nature
animal,dog,social
animal,horse_walker,physical
animal,lion,nature
animal,snow leopard,nature
animal_keeping,horse,physical
animal_shelter,duck,nature
animated,screen,cultural
animated,winding_posters,cultural
archaeological_site,building,cultural
archaeological_site,fortification,cultural
archaeological_site,settlement,cultural
archaeological_site,tumulus,cultural
area,linear park amenity,physical
area:highway,cycleway,physical
area:highway,footway,physical
area:highway,path,physical
area:highway,pedestrian,physical
area:highway,sidewalk,physical
area:highway,steps,physical
artificial_turf,grass,physical
artwork,sculpture,cultural
artwork_type,architecture,cultural
artwork_type,bust,cultural
artwork_type,carved seat,cultural
artwork_type,carving,cultural
artwork_type,ensemble,cultural
artwork_type,fountain,cultural
artwork_type,graffiti,cultural
artwork_type,installation,cultural
artwork_type,Lock Gates,cultural
artwork_type,marble_sculpture,cultural
artwork_type,mosaic,cultural
artwork_type,mural,cultural
artwork_type,ornamental_vase,cultural
artwork_type,painting,cultural
artwork_type,plaque,cultural
artwork_type,relief,cultural
artwork_type,sculpture,cultural
artwork_type,sculpture_group,cultural
artwork_type,sound installation,cultural
artwork_type,statue,cultural
artwork_type,statue; relief,cultural
artwork_type,status,cultural
artwork_type,stele,cultural
artwork_type,stone,cultural
artwork_type,structure,cultural
artwork_type,tilework,cultural
artwork_type,totem_pole,cultural
artwork_type,vase,cultural
athletics,discus_throw,physical
athletics,discus_throw;hammer_throw,physical
athletics,hammer_throw,physical
athletics,high_jump,physical
athletics,javelin_throw,physical
athletics,long_jump,physical
athletics,long_jump;triple_jump,physical
athletics,pole_vault,physical
athletics,running,physical
athletics,shot_put,physical
athletics,sprint,physical
athletics,steeplechase,physical
athletics,triple_jump,physical
attraction,amusement_ride,social
attraction,animal,nature
attraction,big_wheel,social
attraction,botanical,nature
attraction,bumper_car,physical
attraction,carousel,social
attraction,formal_garden,nature
attraction,historic,cultural
attraction,kiddie_ride,social
attraction,maze,physical
attraction,pirate_ship,social
attraction,roller_coaster,physical
attraction,swing_carousel,social
attraction,theme_area,cultural
attraction,train,social
attraction,trampoline,physical
attraction,water_slide,physical
baby_feeding,room,social
barrier,chicane,physical
barrier,city_wall,cultural
barrier,cycle_barrier,physical
barrier,handrail,physical
barrier,horse_stile,physical
barrier,log,physical
barrier,planter,environmental
barrier,planters,environmental
barrier,rock,physical
barrier,step,physical
barrier,stile,physical
baseball,infield,physical
baseball,softball,physical
basin,detention,environmental
basin,infiltration,environmental
basin,pond,nature
basin,retention,environmental
basin,stormwater,environmental
basin,water,nature
basketball,full,physical
basketball,hoop,physical
bay,fjord,nature
bbq,bring-your-own,social
bbq,bring_your_own,social
bench,deck_chair,nature
bench,picnic_bench,nature
bench,wave_lounger,social
bicycle,designated,physical
bicycle,dismount,physical
bicycle_rental,docking_station,physical
bicycle_rental,dropoff_point,physical
bicycle_rental,institutional,physical
bicycle_rental,shop,physical
bin,separate,environmental
board_type,art,cultural
board_type,board,cultural
board_type,geography,cultural
board_type,geology,nature
board_type,hiking,physical
board_type,history,cultural
board_type,history;information;bylaws,cultural
board_type,history;nature,cultural
board_type,information,cultural
board_type,local,cultural
board_type,map,nature
board_type,Map,nature
board_type,naturaleza,nature
board_type,nature,nature
board_type,notice,social
board_type,planet_walk,physical
board_type,plants,nature
board_type,poema,cultural
board_type,sight,nature
board_type,sport,physical
board_type,tourism,cultural
board_type,wildlife,nature
books,children,social
boules,bocce,physical
boules,petanque,physical
bowls,bocce,physical
